,Unnamed: 0,PMID/PMCID,Publisher,Journal title,Article title,Cost,Cleaned,NewTitle
46,46,23731076 PMC3670620 ,American Psychological Association,Behavioral Neuroscience,Dissociation of recognition and recency memory judgments after anterior thalamic nuclei lessions in rats,3209.63,100,Behavioral neuroscience
47,47,23244291 PMC3569044,American Psychological Association,Behavioral Neuroscience,The Neural Basis of Nonvisual Object Recognition,3211.77,100,Behavioral neuroscience
48,48,PMC3444304,American Psychological Association,"Emotion (Washington, D.C.)","Subjective responses to emotional stimuli during labeling, reappraisal, and distraction ",2534.53,100,
49,49,PMID: 23477577 PMC3727344 ,American Psychological Association,Health Psychology,Behavior change techniques used to promote walking and cycling: a systematic review,3188.3,87,Health psychology open
50,50,PMC3357114,American Psychological Association,Journal of Abnormal Psychology,Lightening the Load: Perceptual Load Impairs Visual Detection in Typical Adults but not in Autism,2534.53,100,Journal of abnormal psychology
51,51,PMC3450431,American Psychological Association,Journal of Consulting and Clinical Psychology,"A randomized clinical trial of mindfulness-based cognitive therapy versus unrestricted services for health anxiety (hypochondriasis). 
",3037.86,100,Journal of consulting and clinical psychology
52,52,23668184,American Psychological Association,Journal of Experimental Psychology:  Animal Behaviour Process,Asymmetry in the Discrimination of Length During Spatial Learning,3144.24,95,Journal of experimental psychology. Animal behavior processes
53,53,"PMC3607463

",American Psychological Association,Journal of Experimental Psychology: Human Perception and Performance,Collective enumeration,2659.32,98,Journal of experimental psychology. Human perception and performance
54,54,23421830 PMC3576129 ,American Psychological Association,Journal of Family Psychology,The nature of nuture:  Disentangling passive geneotype-environment correlation from family relationship influences on children's externalising problems,3092.18,0,
55,55,PMC3437796,American Psychological Association,Psychological Assessment,The factor structure of the autobiographical memory test in recent trauma survivors,2973.32,100,Psychological assessment
56,56,PMC3444305,American Psychological Association,Psychological Review,Generalization through the recurrent interaction of episodic memories: a model of the hippocampal system,2534.53,100,Psychological review
57,57,PMC3444173,American Psychological Association,"Psychological Trauma: Theory research, practice and policy",Investigating cognitive pathways to psychopathology: predicting depression and posttraumatic stress disorder from early responses after assault,2973.32,97,"Psychological trauma : theory, research, practice and policy"
58,58,PMC3725889,American Psychological Association ,Journal of Experimental Psychology: Human Perception and Performance,Dissociable Roles of Different Types of Working Memory Load in Visual Detection,2561.4,98,Journal of experimental psychology. Human perception and performance
59,59,PMID: 23409903 23409903,American Public Health Association,American Journal of Public Health,Health co-benefits and transportation-related reductions in greenhouse gas emissions in the San Francisco bay area,1422.25,100,American journal of public health
60,60,PMC3576085,American Soc for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Understanding how noncatalytic carbohydrate binding modules can display specificity for xyloglucan,1100.0,100,The Journal of biological chemistry
61,61,23239883 PMC3561570 ,American Society for Biochemistry and Molecular Biolgy,Journal of Biological Chemistry,"Molecular architecture and functional analysis of NetB, a pore-forming toxin from Clostridium perfringens",2259.64,100,The Journal of biological chemistry
62,62,PMC3481300,American Society for Biochemistry and Molecular Biology,The Journal of biological chemistry,Structure of the BMP receptor ALK2 and implications for fibrodysplasia ossificans progressiva (Manuscript # M365932,1487.46,96,
63,63,PMC3234852,American Society for Biochemistry and Molecular Biology,The Journal of biological chemistry,Inhibitory member of the apoptosis-stimulating proteins of the p53 family (iASPP) interacts with protein phosphatase 1 via a noncanonical binding motif.,1531.08,96,
64,64,PMCID: PMC3642348,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Human and viral golgi anti-apoptotic protein (GAAP) oligomerize via different mechanisms and monomeric GAAP inhibits apoptosis and modulates calcium,1019.71,100,The Journal of biological chemistry
65,65,PMID: 22992744  PMC3493908,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Dynamic exchange of myosin VI on endocytic structures,1119.61,100,The Journal of biological chemistry
66,66,PMCID: PMC3531748,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Uncoupling proteostasis and development in vitro with a small molecule inhibitor of the pancreatic endoplasmic reticulum kinase, PERK",1131.01,100,The Journal of biological chemistry
67,67,"PMCID: PMC3436574
",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Structural Requirements for Recognition of Major Histocompatibility Complex Class II by Membrane-associated RING-CH (MARCH) Protein E3 Ligases,1137.51,100,The Journal of biological chemistry
68,68,PMID: 23223336 PMC3543027 ,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Visualization of structural changes accompanying activation of NMDA receptors using fast-scan AFM imaging,1152.72,100,The Journal of biological chemistry
69,69,PMCID: PMC3795252,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,SLP-76 sterile alpha motif (SAM) and individual H alpha helix mediates oligomer formation for microclusters and T-cell activation,1160.09,100,The Journal of biological chemistry
70,70,PMCID: PMC3724652,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,?-Amino-3-hydroxy-5-methyl-4-isoxazole propionic acid (AMPA) and N-methyl-D-aspartate (NMDA) receptors adopt different subunit arrangements.,1166.85,100,The Journal of biological chemistry
71,71,"PMCID:
    PMC3597794
",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The HsiB1C1 (TssB/TssC) complex of the Pseudomonas aeruginosa type VI secretion system forms a bacteriophage tail sheath-like structure ,1261.44,100,The Journal of biological chemistry
72,72,PMC3522294,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Transcription Factor Positive Regulatory Domain 4 (PRDM4) recruits Protein Arginine Methyltransferase 5 (PRMT5) to mediate histone arginine methylation and control neural stem cell proliferation and differentiation,1276.08,100,The Journal of biological chemistry
73,73,PMC3774408,American Society for Biochemistry and Molecular Biology,JOURNAL OF BIOLOGICAL CHEMISTRY,"P2X receptor chimeras highlight roles of the amino terminus to partial agonist efficacy, the carboxyl terminus to recovery from desensitization, and independent regulation of channel transitions",1540.0,100,The Journal of biological chemistry
74,74,PMC3610987,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Caspase inhibitors protect neurons by enabling selective necroptosis of inflamed microglia,1586.36,100,The Journal of biological chemistry
75,75,3610976,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Estrogen receptor Ã¡ mediates proliferation of osteoblastic cells stimulated by estrogen and mechanical strain, but their acute down regulation of the Wnt antagonist Sost is mediated by Estrogen Receptor Ã¢",1664.94,100,The Journal of biological chemistry
76,76,"PMC3696691

",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,ZINC-INDUCED SELF-ASSOCIATION OF COMPLEMENT C3b AND FACTOR H: IMPLICATIONS FOR INFLAMMATION AND AGE-RELATED MACULAR DEGENERATION,1743.84,100,The Journal of biological chemistry
77,77,23344959  PMC3585060 ,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,ca2+ signalling through catsper and ca2+ stores regulate different behaviours in human sperm,2501.07,100,The Journal of biological chemistry
78,78,PMCID: PMC3481303,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The sigma-1 receptor binds to the Nav1.5 voltage gated Na+ channel with four-fold symmetry,955.0,100,The Journal of biological chemistry
79,79,"PMCID:
    PMC3789947",American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Mechanism for Recognition of an Unusual Mycobacterial Glycolipid,969.68,100,The Journal of biological chemistry
80,80,PMCID: PMC3663556 ,American Society for Biochemistry and Molecular Biology ,The Journal of Biological Chemistry,Endomembrane HRas controls vascular endothelial growth factor-induced nitric oxide synthase-mediated endothelial cell migration,1166.6,100,The Journal of biological chemistry
81,81,3947303,American Society for Investigative Pathology,American Journal of Pathology,Trophoblast- and Vascular Smooth Muscle Cell-Derived MMP-12 Mediates Elastolysis during Uterine Spiral Artery Remodeling,995.31,100,The American journal of pathology
82,82,PMID: 23856774 PMC3811480 ,American Society for Microbiology,Antimicrobial Agents and Chemotherapy,The R Enantiomer of the Antitubercular Drug PA-824 as a Potential Oral Treatment for Visceral Leishmaniasis,1287.19,100,Antimicrobial agents and chemotherapy
83,83,PMCID: PMC3553740,American Society for Microbiology,Antimicrobial Agents and Chemotherapy,Assessing the Essentiality of Leishmania donovani Nitroreductase and Its Role in Nitro Drug Activation,1287.2,100,Antimicrobial agents and chemotherapy
84,84,PMID:23817378  PMCID: PMC3754341,American Society for Microbiology,Antimicrobial Agents and Chemotherapy,Immunoactivating peptide P4 augments alveolar macrophage phagocytosis in two diverse human populations,1521.66,100,Antimicrobial agents and chemotherapy
85,85,23877697,American Society for Microbiology,Antimicrobial Agfents and Chemotherapy,Cyclic AMP effectors in African Trypanosomes revealed by genome-scale RNA interference library screening for resistance to the phospphodiesterase inhibitor CpdA,3750.05,99,Antimicrobial agents and chemotherapy
86,86,PMCID: PMC3675966 ,American Society for Microbiology,Clinical and Vaccine Immunology,The Alveolar Microenvironment of patients infected with Human immunodeficiency virus does not modify alveolar macrophage interactions with Streptococcus pneumoniae,743.85,95,Clinical and vaccine immunology : CVI
87,87,PMC3697472,American Society for Microbiology,Eukaryotic cell,"Discovery of a sexual cycle in Aspergillus lentulus, a close relative of A. fumigatus.",1653.18,100,Eukaryotic cell
88,88,PMC3571300,American Society for Microbiology,Eukaryotic cell,Evidence for recycling of invariant surface trans-membrane domain proteins in African trypanosomes,2316.16,100,Eukaryotic cell
89,89,PMID:22988015 PMC3497410 ,American Society for Microbiology,Infection and Immunity,Dectin-1 is not required for controlling Candida albicans colonisation of the murine gastrointestinal tract,1910.82,100,Infection and immunity
90,90,PMC in progress,American Society for Microbiology,Infection and Immunity,Analysis of antibodies to newly described plasmodium falciparum merozoite antigens supports ...,2034.0,100,Infection and immunity
91,91,PMCID: PMC3497412,American Society for Microbiology,Infection and Immunity,Progressive cross-reactivity in IgE responses: an explanation for the slow development of human immunity to schistosomiasis,2249.43,100,Infection and immunity
92,92,PMC3754575,American Society for Microbiology,Journal of Bacteriology,The agr locus sregulates virulence and colonization genes in clostridium difficile 027,1343.82,100,Journal of bacteriology
93,93,,American Society for Microbiology,Journal of Virology,The human adenovirus type 5 L4 promoter is activated by cellular stress response protein p53,1312.59,100,Journal of virology
94,94,PMID: 23152534 PMC3554137,American Society for Microbiology,Journal of Virology,"Novel, potentially zoonotic paramyxoviruses from the African straw-coloured fruit bat (Eidolon helvum)",1549.44,100,Journal of virology
95,95,"PMCID:
    PMC3648151
",American Society for Microbiology,Journal of Virology,Structures of the Compact Helical Core Domains of Feline Calicivirus and Murine Norovirus VPg Proteins,1585.64,100,Journal of virology
96,96,"PMCID:
    PMC3518918

",American Society for Microbiology,mBio,EspZ of enteropathogenic and enterohemorrhagic E. coli regulates type III secretion system protein translocation,1586.75,100,
97,97,PMCID: PMC3624257,American Society for Microbiology,Molecular and Cellular Biology,The mouse cytosine-5 RNA methyltranferase Nsun2 is a component of the chromatoid body and required for testis differentiation,2363.45,100,Molecular and cellular biology
98,98,"PMCID:
    PMC3697669",American Society for Microbiology ,Journal of Clinical Microbiology ,Molecular Analysis of an Outbreak of Lethal Postpartum Sepsis Caused by Streptococcus pyogenes [Lethal Streptococcus pyogenes post-partum sepsis: Molecular analysis of an outbreak],1503.47,98,Journal of clinical microbiology
99,99,"PMCID:
    PMC3554100
    [Available on 2013/7/1]","American Society for Microbiology 
","Journal of Virology
","Unstable Polymerase-Nucleoprotein Interaction Is Not Responsible for Avian Influenza Virus Polymerase Restriction in Human Cells 
",1871.85,97,Journal of virology
100,100,,American Society for Nutrition,American Society for Nutrition,The association between breastfeeding and HIV on postpartum maternal weight changes over 24 months in rural South Africa,45.94,0,
101,101,,American Society of Haematology,Blood,Disease-associated missense mutations in the EVH1 domain disrupt intrinsic WASp function causing dysregulated actin dynamics and impaired dendritic cell migration,1260.26,100,
102,102,,American Society of Haematology,Blood,SAP gene transfer restores cellular and humoral immune function in a murine model of X-linked lymphoproliferative disease,1260.26,100,
103,103,23255554 PMC3653566 ,American Society of Hamatology,Blood Journal 20one2,Peptide Length Determines the Outcome of T Cell Receptor/Peptide-MHCI Engagement,1597.98,0,
104,104,,American Society of Hematology,Blood,Super-resolution imaging of remodeled synaptic actin reveals different synergies between NK cell receptors and integrins.,1230.4,100,
105,105,PMC3501641,American Society of Hematology,Blood,Induction of IL-4Ra-dependent microRNAs identifies PI3K/Akt signaling as essential for IL-4-driven murine macrophage proliferation in vivo,1288.14,100,
106,106,PMCID: PMC3596968,American Society of Hematology,Blood,Siglec-E is a negative regulator of acute pulmonary neutrophil inflammation and suppresses CD11b ?2-integrin-dependent signaling,1340.75,100,
107,107,23002116 PMC3790949 ,American Society of Hematology,Blood,Evaluation of participants with suspected heritable platelet function disorders including recommendation and validation of a streamlined agonist panel.,1527.2,100,
108,108,"PMCID:
    PMC3689249",American Society of Hematology,Blood,Characterization of a novel NKG2D and NKp46 double-mutant mouse reveals subtle variations in the NK cell repertoire,1543.44,100,
109,109,23043070 PMC3790942 ,American Society of Hematology,Blood Journal 20one2,Epidermis instructs skin homing receptor expression in human T cells,1578.43,0,
110,110,PMC3397259,American Society of Human Genetics (Elsevier),THE AMERICAN JOURNAL OF HUMAN GENETICS,Mutations in DPAGT1 Cause a Limb-Girdle Congenital Myasthenic Syndrome with Tubular Aggregates,2181.09,100,American journal of human genetics
111,111,PMC3697654,American Society of Microbiology,Jounral of Clinical Microbiology,Evaluation of Xpert MTB/RIF for the detection of TB from blood of HIV2-infected adults confirms MTB-bacteremia as indicator of poor prognosis,1364.47,96,Journal of clinical microbiology
112,112,22875964 PMCID: PMC3457148 ,American Society of Microbiology,Journal of Virology,"Structure, function and evolution of the Crimean-C ongo hemorrhagic fever virus nucleocapsid protein",1247.41,100,Journal of virology
113,113,PMC3624379,American Society of Microbiology,Journal of Virology,Genetic variability and the classification of hepatitis E virus,2019.89,100,Journal of virology
114,114,,American Speech-Language-Hearing Association,Speech Language and Hearing Research,Developmental Trajectories of Verbal and Nonverbal Skills in Individuals with a History of Specific Language Impairment: From Childhood to Adolescence,1969.02,0,
115,115,PMCID: 3581401,ASBMB,BIOLOGICAL CHEMISTRY,MOLECULAR ARCH. OF A COMPLEX BETWEEN ADHESION PROTEIN FROM MALARIA PARASITE & INTRACELLULAR ADHESION,946.55,100,Biological chemistry
116,116,PMC3591638,ASBMB,Biologicial Chemistry,Molecular Basis for Jagged-1 Serrate,1281.59,98,Biological chemistry
117,117,PMC3438964,ASBMB,The Journal of biological chemistry,Structure and mechanism of human UDP-xylose synthase: evidence for a promoting role of sugar ring distortion in a three-step catalytic conversion of UDP-glucuronic acid.,1290.23,96,
118,118,PMC3308871,ASBMB,The Journal of biological chemistry,Structural and evolutionary basis for the dual substrate selectivity of human KDM4 histone demethylase family.Â ,1508.97,96,
119,119,PMC3265891,ASBMB,The Journal of biological chemistry,Structural and kinetic evidence that catalytic reaction of human UDP-glucose 6-dehydrogenase involves covalent thiohemiacetal and thioester enzyme intermediates.,1521.32,96,
120,120,PMC3597819,ASBMB,J Biol Chemistry,Structural Basis for Cul3 Protein Assembly with the BTB-Kelch Family of E3 Ubiquitin Ligases,1334.16,88,SOJ biochemistry
121,121,23129765 PMC3531760 ,ASBMB,Journal of Biological Chemistry,Contrasting Effects of a-synuclein and y-synuclein on the Phenotype of Cysteine String Protein alpha (CSPa) Null Mutant Mice Suggest Distinct Function of these Proteins in Neuronal Synapses,1134.5,100,The Journal of biological chemistry
122,122, PMC3516716,ASBMB,Journal of Biological Chemistry,"Novel keto-phospholipids are generated by monocytes and macrophages. Detected in Cystic Fibrosis, and activate peroxisome proliferator-activated receptor-? (Manuscript #M405409)",1150.6,100,The Journal of biological chemistry
123,123,PMC3581394 ,ASBMB,Journal of Biological Chemistry,Immobilization of Heparan Sulfate on Electrospun Meshes to Support Embryonic Stem Cell Culture and Differentiation,1225.26,100,The Journal of biological chemistry
124,124,PMC3554938 ,ASBMB,Journal of Biological Chemistry,Deubiquitinases regulate the activity of caspase-1 and IL-1? secretion via assembly of the inflammasome,1246.42,100,The Journal of biological chemistry
125,125,PMC2757965,ASBMB,Journal of Biological Chemistry,Mechanisms of activity-dependent plasticity in cellular nitric oxide-cGMP signaling,1246.76,100,The Journal of biological chemistry
126,126,,ASBMB,Journal of Biological Chemistry,Matrilin-1 A-domains: structural and functional investigations reveal insights into their role in cartilage ecm assembly,1260.9,100,The Journal of biological chemistry
127,127,3234717,ASBMB,Journal of Biological Chemistry,Methionine Oxidation of Sup35 Protein Induces Formation of the [PSI+] Prion in a Yeast Peroxiredoxin Mutant,1276.08,100,The Journal of biological chemistry
128,128,PMC3173209,ASBMB,Journal of Biological Chemistry,The T cell receptor triggering apparatus is composed of monovalent or monomeric proteins.,1286.86,100,The Journal of biological chemistry
129,129,3696646,ASBMB,Journal of Biological Chemistry,Comparative Proteomic Analysis of Supportive and Unsupportive Extracellular Matrix Substrates for Human Embryonic Stem Cell Maintenance.,1287.75,100,The Journal of biological chemistry
130,130,PMCID: 3682544,ASBMB,JOURNAL OF BIOLOGICAL CHEMISTRY,STRUCTURAL ANALYSIS OF COLLAGEN TYPE I INTERACTIONS WITH HUMAN FIBRONECTIN REVEALS A COOPERATIVE BONDING MODE,1314.53,100,The Journal of biological chemistry
131,131,3431625,ASBMB,Journal of Biological Chemistry,Opticin Exerts Its Anti-Angiogenic Activity by Regulating Extracellular Matrix Adhesiveness,1343.39,100,The Journal of biological chemistry
132,132,PMC3488092,ASBMB,Journal of biological chemistry,Solution NMR Structure of the Ca2+- Bound N-Terminal Domain of Calcium Binding Protein 7 (CaBP7): A regulator of Golgi trafficking,1443.99,100,The Journal of biological chemistry
133,133,2339840 PMC3591641 ,ASBMB,Journal of Biological Chemistry,Expanding the repertoire of amyloiod polymorphs by co-polymerization of related protein precursors,1545.1,100,The Journal of biological chemistry
134,134,PMC3630886,ASBMB,Journal of Biological Chemistry,The Sec7 Guanine Nucleotide Exchange Factor GBF1 Regulates Membrane Recruitment of BIG1 and BIG2 Guanine Nucleotide Exchange Factors to the Trans-Golgi Network (TGN).,1552.26,100,The Journal of biological chemistry
135,135,2952269,ASBMB,Journal of Biological Chemistry,SSS1p is required to complete protein translocon activation,1556.61,100,The Journal of biological chemistry
136,136,3121340,ASBMB,Journal of Biological Chemistry,Preferential Targeting of a Signal Recognition Particle-dependent Precursor ,1556.61,100,The Journal of biological chemistry
137,137,PMC3567677,ASBMB,JOURNAL OF BIOLOGICAL CHEMISTRY,Talin 1 has unique expression versus Talin 2 in the heart and modifies the hypertrophic response to pressure overload,1572.24,100,The Journal of biological chemistry
138,138,PMC3774368 ,ASBMB,Journal of Biological Chemistry,Functional properties of five Dictyostelium discoideum P2X receptors,1580.47,100,The Journal of biological chemistry
139,139,PMC3630861,ASBMB,Journal of Biological Chemistry,Cross-species Analysis Reveals Evolving And Conserved Features of the Nuclear Factor kB (NF-kB) Proteins.,1600.25,100,The Journal of biological chemistry
140,140,23569211 PMC3668706,ASBMB,Journal of Biological Chemistry,Highly divergent T cell receptor binding models underlie specific recognition of a bulged viral peptide bound to HLA,1609.66,100,The Journal of biological chemistry
141,141,PMC3488048,ASBMB,Journal of Biological Chemistry,Biophysical analysis of Kindlin-3 reveals an elongated conformation and maps integrin binding to the membrane-distal ?-subunit NPXY motif.,1610.31,100,The Journal of biological chemistry
142,142,PMC3724654,ASBMB,Journal of Biological Chemistry,Differential Virulence of Candida glabrata Glycosylation Mutants,1621.62,100,The Journal of biological chemistry
